ID,Trait Name,Trait Name ID,Custom Trait Name,Trait Description,Description ID,Custom Trait Description,Type,Repeatable,Length,EventTrigger,Requirement,Probability,Evolves Into,Opposites,Removes Traits,Triggers,Shown,All Stats,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Special Case,Special Case Text,Special Case Description,Marketability,Morale,Mechanic,Teammate,Chairman,Improveability,Potential,Fuel Burn,Tyre Wear,Desired Wins,Desired Earnings,Patience
134,Endurance Champion,PSG_10005449,,You can never let your level drop too low.,PSG_10005450,,Permanent,,,,Trait = 133,25,,,134,Source = EnduranceWinner,PlayerDriverOnly,,,,,,2,,,,,,,,5,,,,,,,,,,,
135,Cycling Racer,PSG_10005451,,My lung capacity is through the roof!,PSG_10005452,,Temp,,20,,,10,136,17,135,Source = CyclingRacer,PlayerDriverOnly,,,,,,,,1,,,,,,5,,,,,,,,,,,
136,Cycling Champion,PSG_10005453,,I can keep going for hours.,PSG_10005454,,Permanent,,,,Trait = 135,25,,,136,Source = CyclingWinner,PlayerDriverOnly,,,,,,,,2,,,,,,5,,,,,,,,,,,
137,Sim Racing Enthusiast,PSG_10005455,,I can try moves in the sim I never would in the race.,PSG_10005456,,Temp,,20,,,10,138,,137,Source = SimRacingEnthusiast,PlayerDriverOnly,,,,,1,,,,,,,,,5,,,,,,,,,,,
138,Sim Racing Champion,PSG_10005457,,These sim moves are really helping!,PSG_10005458,,Permanent,,,,Trait = 137,25,,,138,Source = Sim Racing Champion,PlayerDriverOnly,,,,,2,,,,,,,,,5,,,,,,,,,,,
139,Investment Portfolio,PSG_10005459,,I'd like to invest in the team...,PSG_10005460,,Temp,,20,,,5,140,,139,Source = InvestmentPortfolio,PlayerDriverOnly,,,,,,,,,,,RandomPayment(Low),"The driver decided to invest in the team, paying you some money.",PSG_10009830,,,,,,,,,,,,
140,Embezzling,PSG_10005461,,So I took a little money... so what?!,PSG_10005462,,Temp,,20,,Trait = 139,50,141,,140,Source = Embezzler,PlayerDriverOnly,,,,,,,,,,,,,,-15,,,,,,,,,,,
141,Offshore Accountant,PSG_10005463,,My guy in the Cayman Islands is a genius!,PSG_10005464,,Temp,,20,,Trait = 140,50,142,,141,Source = OffshoreAccountant,PlayerDriverOnly,,,,,,,,,,,RandomPayment(Med),"The driver's accountant recommended an investment in the team, paying you some money.",PSG_10009831,,,,,,,,,,,,
142,Tax Avoidance Trial,PSG_10005465,,They're hauling me up before the magistrates...,PSG_10005466,,Temp,,20,,Trait = 141,50,143,,142,Source = TaxAvoidanceTrial,PlayerDriverOnly,,,,,,,,,,,,,,-30,,,,,,,,,,,
143,Bankrupt,PSG_10005467,,I'm going to get back to the top... mark my words.,PSG_10005468,,Temp,,20,,Trait = 142,50,,,143,Source = Bankrupt,PlayerDriverOnly,,,,,,,,,,,,,,,,,,,,,,,,200,
144,Training Young Drivers,PSG_10005469,,"Just want to pass on my expertise... ",PSG_10005470,,Temp,,20,,,8,145,2,144,Source = TrainingYoungDrivers,PlayerDriverOnly,,,,,,,,,,,,,,,20,,,,,,,,,,
145,Owns Go Karting School,PSG_10005471,,Teaching is in my veins!,PSG_10005472,,Temp,,20,,Trait = 144,50,146,,145,Source = OwnsGoKartingSchool,PlayerDriverOnly,,,,,1,,,,,,,,,,,,,,,,,,,,
146,Drivers' Union Leader,PSG_10005473,,It's an honour to represent my fellow drivers.,PSG_10005474,,Temp,,20,,Trait = 145,25,147,,146,Source = DriversUnionLeader,PlayerDriverOnly,,,,,,,,,,,,,,10,20,,,,,,,,,,
147,Opening Museum,PSG_10005475,,Doing all of this work is distracting!,PSG_10005476,,Temp,,20,,Trait = 146,7,148,,147,Source = OpeningMuseum,PlayerDriverOnly,-1,,,,,,,,,,,,,15,,,,,,,,,,,
148,Museum Opened,PSG_10005477,,"Don't mind me, just basking in the glow of my own awesomeness.",PSG_10005478,,Temp,,20,,Trait = 147,50,149,,148,Source = MuseumOpened,PlayerDriverOnly,1,,,,,,,,,,,,,20,,,,,,,,,,,
149,Hall of Fame,PSG_10005479,,It's my rightful place!,PSG_10005480,,Temp,,20,,Trait = 148,10,,,149,Source = HallOfFame,PlayerDriverOnly,1,,,,,,,,,,,,,25,,,,,,,,,,,
150,Fun Runner,PSG_10005481,,It's all for charity!,PSG_10005482,,Temp,,20,,,15,151,2,150,Source = FunRunner,PlayerDriverOnly,,,,,,,,,,,,,,10,,,,,,,,,,,
151,Volunteering,PSG_10005483,,I just want to give something back.,PSG_10005484,,Temp,,20,,Trait = 150,50,152,,151,Source = Volunteering,PlayerDriverOnly,,,,,,,,,,,,,,15,,,,,,,,,,,
152,Charity Work Abroad,PSG_10005485,,Seeing the look on their faces makes it all worthwhile.,PSG_10005486,,Temp,,20,,Trait = 151,50,153,,152,Source = CharityWorkAbroad,PlayerDriverOnly,,,,,,,,,,,,,,20,,,,,,,,,,,
153,Tropic Fever,PSG_10005487,,I never should have gone on that charity trip!,PSG_10005488,,Temp,,20,,Trait = 152,10,154,,153,Source = TropicFever,PlayerDriverOnly,-1,,,,,,,,,,,,,,,,,,,,,,,,
154,Charitable Ambassador,PSG_10005489,,The world needs to know about what's going on out there!,PSG_10005490,,Temp,,20,,Trait = 153,25,,,154,Source = CharitableAmbassador,PlayerDriverOnly,,,,,,,,,,,,,,25,,,,,,,,,,,
155,Filming Documentary,PSG_10005491,,I've always felt that my story deserved to be on the silver screen...,PSG_10005492,,Temp,,20,,,10,156,,155,Source = FilmingDocumentary,PlayerDriverOnly,,,,,,,,,,,,,,25,,,,,,,,,,,
156,Writing Autobiography,PSG_10005493,,I want to set the record straight about a few things...,PSG_10005494,,Temp,,20,,Trait = 155,10,157,,156,Source = WritingAutobiography,PlayerDriverOnly,,,,,,,,,,,,,,25,,-5,-5,-5,,,,,,,
157,Writing Second Autobiography,PSG_10005495,,It's time that I told the real story... again!,PSG_10005496,,Temp,,20,,Trait = 156,25,,,157,Source = WritingSecondAutobiography,PlayerDriverOnly,,,,,,,,,,,,,,25,,-5,-5,-5,,,,,,,
158,Race Winner,PSG_10005497,,Recently won a race,PSG_10005498,,Temp,Yes,2,PostRace,RacePosition = 1; Location = Any,60,,,158,Source = RaceWinner,PlayerDriverOnly,,,,,,,,,,,,,,,15,,,,,,,,,,
159,Podium,PSG_10005499,,Recently sprayed some champagne,PSG_10005500,,Temp,Yes,2,PostRace,RacePosition <= 3; RacePosition > 1,45,,,159,Source = Podium,PlayerDriverOnly,,,,,,,,,,,,,,,5,,,,,,,,,,
160,Home Race Winner,PSG_10005501,,Recently won a home race,PSG_10005502,,Temp,Yes,2,PostRace,RacePosition = 1; Location = Home,100,,,160,Source = HomeRaceWinner,PlayerDriverOnly,,,,,,,,,,,,,,,25,,,,,,,,,,
161,Losing Hope,PSG_10005503,,"I don't ever see us improving... ",PSG_10005504,,Temp,,4,PostRace,Employed = True,,,,161,Source = LosingHope,PlayerDriverOnly,-1,,,,,,,,,,,,,,,,,,,,,,,,
162,Top of the World,PSG_10005505,,It doesn't get much better than this!,PSG_10005506,,Temp,,4,PostRace,Employed = True,,,39,162,Source = TopOfTheWorld,PlayerDriverOnly,1,,,,,,,,,,,,,,,,,,,,,,,,
163,Learning Fast,PSG_10005507,,"Being here is so eye-opening... ",PSG_10005508,,Temp,,20,,Employed = True,5,,11,163,Source = LearningFast,PlayerDriverOnly,,,,,,,,,,,,,,,,,,,5,,,,,,
164,Frustrated Reserve,PSG_10005509,,I'm not learning anything here!,PSG_10005510,,Temp,,20,,ReserveDriver = True,10,,7,164,Source = FrustratedReserve,PlayerDriverOnly,,,,,,,,,,,,,,,-20,,,,-2,,,,,,
165,Pay Driver,PSG_10005511,,"My sponsors are interested in a deal... ",PSG_10005512,,Permanent,,,,,2,,,165,Source = PayDriver,PlayerDriverOnly,,,,,,,,,,,PayDriver,The driver's sponsors will pay you money for each race they are involved in.,PSG_10009832,,,,,,,,,,,,
166,Upset About Contract,PSG_10005513,,I want a new deal!,PSG_10005514,,Temp,Yes,26,,ContractBelowDriverQuality,4,,,166,Source = UpsetAboutContract,PlayerDriverOnly,,,,,,,,,,,,,,,-30,,,,,,,,,,
167,Suspicious About Media Reports,PSG_10005515,,"I read that story in the paper... not cool, boss.",PSG_10005516,,Temp,Yes,8,,RumoursAboutDriver = True,15,,,167,Source = SuspiciousAboutMediaReports,PlayerDriverOnly,,,,,,,,,,,,,,,-30,,,,,,,,,,
168,Rival With Driver,PSG_10005517,,I would never have {RivalName} as a teammate!,PSG_10005518,,Temp,Yes,52,PostRace,HasRival = OtherTeam,5,,,168,Source = RivalWithDriver,PlayerDriverOnly,,,,,,,,,,,WillNotJoinRival,The driver will not join a team with his rival.,PSG_10009833,,,,,,,,,,,,
169,Rival With Teammate,PSG_10005519,,I can't drive for this team while {RivalName} is still here!,PSG_10005520,,Temp,Yes,52,PostRace,HasRival = Teammate; Employed = True,5,,,169,Source = RivalWithTeammate,PlayerDriverOnly,,,,,,,,,,,WillNotRenewContract,The driver will not renew his contract.,PSG_10009834,,,,,,,,,,,,
170,Fight With Mechanic,PSG_10005521,,He's an idiot!,PSG_10005522,,Temp,Yes,8,,ReserveDriver = False; Employed = True,5,,,170,Source = FightWithMechanic,PlayerDriverOnly,,,,,,,,,,,FaceInjury,,,,,-50,,,,,,,,,
171,Fight With Teammate,PSG_10005523,,What is his problem?!,PSG_10005524,,Temp,Yes,8,,ReserveDriver = False; Employed = True,5,,,171,Source = FightWithTeammate,PlayerDriverOnly,,,,,,,,,,,FightWithTeammate; FaceInjury,The driver had a fight with his teammate.,PSG_10009835,,,,-50,,,,,,,,
172,Fight With Chairman,PSG_10005525,,"I know he pays my wages, but seriously... ",PSG_10005526,,Temp,Yes,8,,Employed = True,3,,,172,Source = FightWithChairman,PlayerDriverOnly,,,,,,,,,,,,,,,,,,-25,,,,,,,
173,Fight With Stewards,PSG_10005527,,They need to learn how to back off.,PSG_10005528,,Temp,Yes,8,PostRace,CarStatus = Crashed || Retired,15,,,173,Source = FightWithStewards,PlayerDriverOnly,,,,,,,,,,,NeckInjury,,,,,,,,,,,,,,
174,Cold,PSG_10005529,,Anyone got a tissue?,PSG_10005530,,Temp,Yes,2,,,8,,,174,Source = Cold,PlayerDriverOnly,-1,,,,,,,,,,,,,,,,,,,,,,,,
175,Flu,PSG_10005531,,Chicken soup for me from now on.,PSG_10005532,,Temp,Yes,2,,,5,,,175,Source = Flu,PlayerDriverOnly,-3,,,,,,,,,,,,,,,,,,,,,,,,
176,Fever,PSG_10005533,,"I'm feeling quite run down... ",PSG_10005534,,Temp,Yes,4,,,3,,,176,Source = Fever,PlayerDriverOnly,-5,,,,,,,,,,,,,,,,,,,,,,,,
177,Back Problems,PSG_10005535,,"Ow! I think I slept funny... ",PSG_10005536,,Temp,Yes,4,,,3,,,177,Source = BackProblems,PlayerDriverOnly,,,,-3,,-3,-3,-3,,,,,,,,,,,,,,,,,
178,Cracked Rib,PSG_10005537,,"The X-Rays revealed a bit of a crack... ",PSG_10005538,,Temp,Yes,4,PostRace,CarStatus = Crashed,5,,239; 240; 241; 242; 243,178,Source = CrackedRib,PlayerDriverOnly,,,-8,,,,,-8,,,FaceInjury,,,,,,,,,,,,,,
179,Black Eye,PSG_10005539,,You should see the other guy.,PSG_10005540,,Temp,Yes,2,,,5,,,179,Source = BlackEye,PlayerDriverOnly,,,,,,,,,,-2,FaceInjury,,,,,,,,,,,,,,
180,Dodgy Neck,PSG_10005541,,"The driving position can't be helping... ",PSG_10005542,,Temp,Yes,8,PostRace,,2,,,180,Source = DodgyNeck,PlayerDriverOnly,,,,,,,,-10,,,NeckInjury,,,,,,,,,,,,,,
239,Sprained Wrist,PSG_10009017,,"I know it's a wrist injury, but it's not what it looks like!",PSG_10009051,,Temp,Yes,6,PostRace,CarStatus = Crashed,2,,178; 240; 241; 242; 243,239,Source = SprainedWrist,PlayerDriverOnly,,,-4,-4,-4,,,,,,,,,,,,,,,,,,,,
240,Eye Problems,PSG_10009018,,Everything is blurry...,PSG_10009052,,Temp,Yes,4,,,2,,239; 178; 241; 242; 243,240,Source = EyeProblems,PlayerDriverOnly,,,-4,,-4,,,,-4,-4,,,,,,,,,,,,,,,
241,Broken Metatarsal,PSG_10009019,,My foot!,PSG_10009053,,Temp,Yes,6,PostRace,CarStatus = Crashed,2,,239; 240; 178; 242; 243,241,Source = BrokenMetatarsal,PlayerDriverOnly,,-12,,-12,,-12,,,,,,,,,,,,,,,,,,,
242,Dislocated Shoulder,PSG_10009020,,"Eeh, my shoulder!",PSG_10009054,,Temp,Yes,4,PostRace,CarStatus = Crashed,2,,239; 240; 241; 178; 243,242,Source = DislocatedShoulder,PlayerDriverOnly,,,-15,-15,,-15,,,,,,,,,,,,,,,,,,,
243,Whiplash,PSG_10009021,,I *have* been injured in an accident at work!,PSG_10009055,,Temp,Yes,8,PostRace,CarStatus = Crashed,2,,"239; 240; 241; 242; 178; ",243,Source = Whiplash,PlayerDriverOnly,,-12,-12,,-12,,-12,,,-10,,,,,,,,,,,,,,,
181,New Haircut,PSG_10005543,,Did you notice?,PSG_10005544,,Temp,Yes,8,,,10,,,181,Source = NewHaircut,PlayerDriverOnly,,,,,,,,,,,RandomNewHairstyle,"The driver's new haircut has been picked up by the paper, improving marketability.",PSG_10009836,5,,,,,,,,,,,
182,Feeling Down,PSG_10005545,,"Just feeling a little blue, I guess.",PSG_10005546,,Temp,,2-12,,,7,,,182,Source = FeelingDown,PlayerDriverOnly,,,,,,,,,,,,,,,-30,,,,,,,,,,
183,Happy,PSG_10005547,,This is the best. Team. Ever!,PSG_10005548,,Temp,,20,,Trait = 182,5,,39,183,Source = FeelingBetter,PlayerDriverOnly,,,,,,,,,,,,,,,30,,,,,,,,,,
184,Just Married,PSG_10005549,,Life is wonderful!,PSG_10005550,,Temp,,20,,,5,185; 186,,184,Source = JustMarried,PlayerDriverOnly,,,,,,,,,,,,,,5,20,,,,,,,,,,
185,Just Divorced,PSG_10005551,,Life is wonderful!,PSG_10005552,,Temp,,8,,,4,,,185,Source = JustDivorced,PlayerDriverOnly,,,,,,,,,,-1,,,,5,20,,,,,,,,,,
186,Newborn,PSG_10005553,,A little bundle of joy!,PSG_10005554,,Temp,,8,,Trait = 184; Gender = Male,6,,,186,Source = Newborn,PlayerDriverOnly,,,,,,,,-1,,-2,,,,5,30,,,,,,,,,,
187,Burglary,PSG_10005555,,They even took my first pair of driving gloves!,PSG_10005556,,Temp,,8,,,5,,,187,Source = DriverBurgled,PlayerDriverOnly,-1,,,,,,,,,,,,,,,,,,,,,,,,
188,House Fire,PSG_10005557,,I lost everything... everything!,PSG_10005558,,Temp,,8,,,5,,,188,Source = DriverHouseFire,PlayerDriverOnly,-1,,,,,,,,,,,,,,,,,,,,,,,,
189,Fancies Teammate,PSG_10005559,,I never saw them that way... until now.,PSG_10005560,,Temp,,20,,TeammateLovePossible = True; ReserveDriver = False,10,190,169,189,Source = TeammateFanciesTeammate,PlayerDriverOnly,,,,,,,,,,,,,,,10,,,,,,,,,,
190,Dating Teammate,PSG_10005561,,We actually make a pretty good couple!,PSG_10005562,,Temp,,20,,Trait = 189; ReserveDriver = False,50,191; 193,,190,Source = TeammatesDating,PlayerDriverOnly,,,,,,,,,,,,,,,15,,,,,,,,,,
191,In Love With Teammate,PSG_10005563,,She's something special.,PSG_10005564,,Temp,,20,,Trait = 190; ReserveDriver = False,50,192; 193,,191,Source = In Love With Teammate,PlayerDriverOnly,,,,,,,,,,,,,,,20,,,,,,,,,,
192,Married Teammate,PSG_10005565,,"You're not thinking of firing her, are you?",PSG_10005566,,Temp,,20,,Trait = 191; ReserveDriver = False,50,,,192,Source = Married Teammate,PlayerDriverOnly,,,,,,,,,,,,,,,30,,,,,,,,,,
193,Broke Up With Teammate,PSG_10005567,,"Well, that was the worst idea ever.",PSG_10005568,,Temp,,20,,Trait = 190||191||192; ReserveDriver = False,50,,,193,Source = Broke Up With Teammate,PlayerDriverOnly,,,,,,,,,,,,,,,,,,,,,,,,,
194,Having Secret Affair,PSG_10005569,,Don't tell a soul.,PSG_10005570,,Temp,,20,,,9,195,,194,Source = Having Secret Affair,PlayerDriverOnly,,,,,,,,,,-2,,,,,,,,,,,,,,,
195,Affair Exposed,PSG_10005571,,Did you tell anyone?!,PSG_10005572,,Temp,,20,,Trait = 194,50,,,195,Source = AffairExposed,PlayerDriverOnly,-2,,,,,,,,,,,,,,,,,,,,,,,,
196,Mid Life Crisis,PSG_10005573,,"Ordinarily you'd buy a sportscar, but I already have a few... ",PSG_10005574,,Temp,,20,,Age >= 30,8,,,196,Source = MidLifeCrisis,PlayerDriverOnly,-1,,,,,,,,,,,,,,,,,,,,,,,,
197,Renewed Passion,PSG_10005575,,Racing is the answer.,PSG_10005576,,Temp,,20,,,10,,39,197,Source = RenewedPassion,PlayerDriverOnly,1,,,,,,,,,,,,,,,,,,,,,,,,
198,Likes Changeable Conditions,PSG_10007656,,""I thrive on the unknown."",PSG_10007682,,Permanent,,,,,,,199,198,,,,,,,,,2,,,,IntermediateTyres,Applies when the driver is on intermediate tyres.,PSG_10009837,,,,,,,,,,,,
199,Hates Intermediates,PSG_10007657,,""Why can't the weather just make up its mind?"",PSG_10007683,,Permanent,,,,,,,198,199,,,,,,,,,-2,,,,IntermediateTyres,Applies when the driver is on intermediate tyres.,PSG_10009837,,,,,,,,,,,,
200,Setup Whizz,PSG_10007658,,""A bad car never wins."",PSG_10007684,,Permanent,,,,,,,201,200,,,,,,,,,,,2,,Practice,Bonus applies during practise only.,PSG_10009838,,,,,,,,,,,,
201,Doesn't Understand Setup,PSG_10007659,,""It should just be about which driver is fastest!"",PSG_10007685,,Permanent,,,,,,,200,201,,,,,,,,,,,-2,,Practice,Bonus applies during practise only.,PSG_10009838,,,,,,,,,,,,
203,Under Pressure,PSG_10007660,,""Driving's a lot easier without everyone on my back"",PSG_10007686,,Temp,Yes,4,,ChairmanUltimatum = True,25,,,203,Source = UnderPressure,PlayerDriverOnly,,1,1,,,-1,,,,-1,,,,,,,,,,,,,,,
204,Struggles Under Pressure,PSG_10007661,,""I don't like the sponsors breathing down my neck!"",PSG_10007687,,Permanent,,,,,,,8,204,,,-1,,,,,,,,,,SponsorTop3,Only applies when the sponsor bonus objective is 3rd or above.,PSG_10009839,,,,,,,,,,,,
207,Duel Master,PSG_10007662,,""I live for a great duel on track."",PSG_10007688,,Permanent,,,,,,,208,207,,,1,,,,,,,,,,OneOnOne,Only applies when there is exactly 1 other car within 1 second of the driver on track.,PSG_10009840,,,,,,,,,,,,
208,Hates Dueling,PSG_10007663,,""The pressure of a one on one fight is too much for me!"",PSG_10007689,,Permanent,,,,,,,207,208,,,-1,,,,,,,,,,OneOnOne,Only applies when there is exactly 1 other car within 1 second of the driver on track.,PSG_10009840,,,,,,,,,,,,
209,Hates Team Orders,PSG_10007664,,"""If he's faster than me, then he should overtake me!""",PSG_10007690,,Permanent,,,,,,,,209,,,,,,,,,,,,,TurnOffTeamOrders,For this driver the team orders panel will be disabled.,PSG_10009841,,,,,,,,,,,,
210,Gone Rogue,PSG_10007665,,""I'm not taking orders from you any more!"",PSG_10007691,,Temp,Yes,8,,Morale < 5,33,,,210,Source = GoneRogue,PlayerDriverOnly,,,,,,,,,,,TurnOffStrategy,For this driver the entire strategy panel will be disabled.,PSG_10009842,,,,,,,,,,,,
211,Wants To Be Number One,PSG_10007666,,"""If it's not obvious, I'm your number one driver.""",PSG_10007692,,Permanent,,,,,,,,211,,,,,,,,,,,,,NotNumberOne,Only applies when this driver is not a number 1 driver.,PSG_10009843,,-15,,,,,,,,,,
212,Wants A Top Mechanic,PSG_10007667,,""Only the best are lucky enough to work with me."",PSG_10007693,,Permanent,,,,,,,,212,,,,,,,,,,,,,MechanicWorseThanDriver,Only applies when this driver's mechanic has less stars than them.,PSG_10009844,,-15,,,,,,,,,,
213,Feeling Threatened,PSG_10007668,,""I don't like that guy. He's just too damn good!"",PSG_10007694,,Permanent,,,,,,,,213,,,,,,,,,,,,,TeammateBetterThanDriver,Only applies when this driver's teammate has more stars than them.,PSG_10009847,,-15,,,,,,,,,,
214,Green Eyed Monster,PSG_10007669,,""Why is my teammate earning more than me?!"",PSG_10007695,,Permanent,,,,Employed = True,,,,214,,,,,,,,,,,,,TeammateEarningMoreThanDriver,Only applies when this driver's teammate has a higher cost per race than them.,PSG_10009845,,-15,,,,,,,,,,
215,Losing Trust,PSG_10007670,,""Why would you give us risky parts?!"",PSG_10007696,,Temp,,25,PostRace,Busted = True,10,,,215,,PlayerDriverOnly,,,,,,,,,,,,,,,-25,,,,,,,,,,
216,Signed New Contract,PSG_10007671,,""I'm super excited about this new deal!"",PSG_10007697,,Temp,Yes,5,,SignedNewContract,,,,216,,PlayerDriverOnly,,,,,,,,,,,,,,,10,,,,,,,,,,
217,Promise Fulfilled,PSG_10007672,,"""Thanks for doing that for me, boss!""",PSG_10007698,,Temp,Yes,5,,PromiseFulfilled,,,,217,Source = PromiseFulfilled,PlayerDriverOnly,,,,,,,,,,,,,,,30,,,,,,,,,,
218,Promise Broken,PSG_10007673,,""Why would you promise something you couldn't deliver?"",PSG_10007699,,Temp,Yes,5,,PromiseFailed,,,,218,Source = PromiseBroken,PlayerDriverOnly,,,,,,,,,,,,,,,-50,,,,,,,,,,
219,Promise Made: New Part,PSG_10007674,,""I can't wait for that new part you promised me..."",PSG_10007700,,Temp,Yes,4,,CarPartPromise,,,,219,,PlayerDriverOnly,,,,,,,,,,,CarPartPromise,,,,5,,,,,,,,,,
220,Promise Made: Wage Increase,PSG_10007675,,""I'm finally going to be able to buy that Rossini hypercar!"",PSG_10007701,,Temp,Yes,2,,IncomePromise,,,,220,,PlayerDriverOnly,,,,,,,,,,,IncomePromise,,,,5,,,,,,,,,,
221,Promise Made: Championship Position,PSG_10007676,,"""Come on boss, this is the final push!""",PSG_10007702,,Temp,Yes,8,,ChampionshipPromise,,,,221,,PlayerDriverOnly,,,,,,,,,,,ChampionshipPromise,,,,5,,,,,,,,,,
222,Promise Made: HQ Upgrade,PSG_10007677,,"""This new building is going to do wonders for us, trust me.""",PSG_10007703,,Temp,Yes,45,,HQPromise,,,,222,,PlayerDriverOnly,,,,,,,,,,,HQPromise,,,,5,,,,,,,,,,
223,Promise Made: Fire Mechanic,PSG_10007678,,"""I deserve better than that grease-monkey, don't I?!""",PSG_10007704,,Temp,Yes,4,,MechanicPromise,,,,223,,PlayerDriverOnly,,,,,,,,,,,MechanicPromise,,,,5,,,,,,,,,,
224,Promise Made: Fire Designer,PSG_10007679,,""We need someone better to improve the car."",PSG_10007705,,Temp,Yes,4,,EngineerPromise,,,,224,,PlayerDriverOnly,,,,,,,,,,,EngineerPromise,,,,5,,,,,,,,,,
225,Promise Made: Fire Reserve Driver,PSG_10007680,,""I'm not comfortable working with him... either he goes or I do."",PSG_10007706,,Temp,Yes,5,,ReservePromise,,,,225,,PlayerDriverOnly,,,,,,,,,,,ReservePromise,,,,5,,,,,,,,,,
227,Drift Racer,PSG_10009023,,""This should make my parade laps more exciting..."",PSG_10009057,,Temp,Yes,26,,,5,228,229; 231; 233,227,Source = DriftRacer,PlayerDriverOnly,,,1,,,,,,,,,,,5,,,,,,,,,,,
228,Drift Champion,PSG_10009024,,""It turns out that driving sideways is way more fun!"",PSG_10009058,,Permanent,,,,Trait = 227,25,,,228,Source = DriftChampion,PlayerDriverOnly,,,2,,,,,,,,,,,5,,,,,,,,,,,
229,Racing Stock Cars,PSG_10009025,,""Driving in circles? How hard can it be?"",PSG_10009059,,Temp,,26,,,5,230,227; 231; 233,229,Source = RacingStockCars,PlayerDriverOnly,,1,,,,,,,,,,,,5,,,,,,,,,,,
230,Stock Car Champion,PSG_10009026,,"""Okay, that was much harder than I expected.""",PSG_10009060,,Permanent,,,,Trait = 229,25,,,230,Source = StockCarChampion,PlayerDriverOnly,,2,,,,,,,,,,,,5,,,,,,,,,,,
231,Racing Trucks,PSG_10009027,,"""Yee-haw! Out of my way, suckers!""",PSG_10009061,,Temp,,26,,,5,232,227; 229; 233,231,Source = RacingTrucks,PlayerDriverOnly,,,,,1,,,,,,,,,5,,,,,,,,,,,
232,Truck Racing Champion,PSG_10009028,,"""Whoa, these things are beasts!""",PSG_10009062,,Permanent,,,,Trait = 231,25,,,232,Source = TruckRacingChampion,PlayerDriverOnly,,,,,2,,,,,,,,,5,,,,,,,,,,,
233,Paranoid,PSG_10001349,,"""Hey. Over here. Keep your voice down... they've bugged this room, I know it...""",PSG_10002619,,Permanent,,,,,,,,233,,,,,,,,,,,,-2,,,,5,,-25,,,,,,,,,
234,Panic Prone,PSG_10001385,,""Don't tell me to calm down!"",PSG_10003748,,Permanent,,,,,,,,234,,,,,,,,,-2,,-1,-1,,,,,,,,,,,,,,,
235,Training for Pilot's License,PSG_10009031,,""Ahh... so that's why it's called aerodynamics!"",PSG_10009065,,Temp,,26,,,5,236,,235,Source = TrainingForPilotsLicense,PlayerDriverOnly,,,,,,,,,,-2,,,,5,,,,,,,,,,,
236,Trained Pilot,PSG_10009032,,""Everybody looks like ants from up here!"",PSG_10009066,,Permanent,,,,Trait = 236,25,,,236,Source = TrainedPilot,PlayerDriverOnly,,,,2,,,,,,-1,,,,5,,,,,,,,,,,
237,Claims Abducted by Aliens,PSG_10009033,,"""ZODIAN'S REAL, GUYS!""",PSG_10009067,,Temp,,20,,,1,,,237,Source = AbductedByAliens,PlayerDriverOnly,,,,,,,,,,-3,,,,,-10,,,,,,,,,,
238,Addicted to Videogames,PSG_10009034,,""Just.. one... more... go..."",PSG_10009068,,Temp,,20,,,5,,,238,Source = AddictedToVideogames,PlayerDriverOnly,,,,,,,,,,-3,,,,,-5,,,,,,,,,,
259,Guildford Expert,PSG_10009035,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,259,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Guildford,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
260,Ardennes Expert,PSG_10009036,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,260,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Ardennes,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
261,Phoenix Expert,PSG_10009037,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,261,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Phoenix,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
262,Yokohama Expert,PSG_10009038,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,262,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Yokohama,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
263,Munich Expert,PSG_10009039,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,263,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Munich,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
264,Cape Town Expert,PSG_10009040,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,264,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,CapeTown,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
265,Doha Expert,PSG_10009041,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,265,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Doha,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
266,Milan Expert,PSG_10009042,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,266,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Milan,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
